,flight,thank,label
254,0.5880333434473399,0.8088366874679601,good
255,0.0,0.0,average
256,0.0,0.0,average
257,0.0,0.0,average
258,0.0,1.0,good
259,0.0,0.0,negative
260,0.0,0.0,average
261,0.0,0.0,average
262,1.0,0.0,negative
263,0.0,0.0,negative
264,0.5880333434473399,0.8088366874679601,good
265,0.0,0.0,negative
266,0.0,0.0,negative
267,0.0,0.0,average
268,0.0,0.0,average
269,0.0,0.0,good
270,0.0,0.0,average
271,0.0,0.0,average
272,0.0,0.0,good
273,0.0,0.0,good
274,0.0,0.0,negative
275,0.0,0.0,average
276,0.0,0.0,good
277,0.0,0.0,good
278,0.0,0.0,average
279,0.0,0.0,average
280,0.0,0.0,worse
281,0.0,1.0,good
282,0.0,0.0,negative
283,0.0,0.0,average
284,0.0,0.0,average
285,0.0,0.0,average
286,0.0,0.0,average
287,1.0,0.0,negative
288,0.0,0.0,negative
289,1.0,0.0,negative
290,0.0,0.0,average
291,0.0,0.0,average
292,0.0,0.0,negative
293,0.0,0.0,good
294,0.0,0.0,average
295,0.0,0.0,average
296,0.0,0.0,average
297,0.0,0.0,average
298,1.0,0.0,negative
299,0.0,0.0,average
300,0.0,0.0,average
301,0.0,0.0,worse
302,0.0,0.0,average
303,1.0,0.0,good
304,1.0,0.0,worse
305,1.0,0.0,negative
306,0.0,0.0,good
307,0.0,0.0,good
308,0.0,0.0,good
309,0.0,0.0,average
310,1.0,0.0,average
311,0.0,0.0,good
312,0.0,0.0,average
313,0.0,1.0,good
314,0.0,0.0,worse
315,0.0,0.0,average
316,0.0,0.0,negative
317,0.0,0.0,negative
318,1.0,0.0,average
319,0.0,0.0,average
320,0.0,0.0,negative
321,1.0,0.0,negative
322,0.0,0.0,average
323,1.0,0.0,good
324,0.0,1.0,good
325,0.0,0.0,average
326,1.0,0.0,average
327,1.0,0.0,average
328,0.0,0.0,average
329,0.0,0.0,worse
330,0.0,0.0,average
331,0.0,1.0,good
332,0.5880333434473399,0.8088366874679601,good
333,0.0,1.0,good
334,0.0,0.0,negative
335,0.0,0.0,negative
336,0.0,1.0,average
337,0.0,0.0,average
338,0.0,0.0,negative
339,0.0,0.0,average
340,0.0,0.0,average
341,1.0,0.0,good
342,1.0,0.0,good
343,1.0,0.0,average
344,0.0,0.0,negative
345,0.0,0.0,negative
346,0.0,0.0,negative
347,0.0,1.0,good
348,1.0,0.0,negative
349,0.0,0.0,negative
350,0.0,0.0,negative
351,0.0,0.0,negative
352,0.0,0.0,average
353,0.0,0.0,negative
354,0.0,0.0,negative
355,1.0,0.0,negative
356,1.0,0.0,average
357,0.0,0.0,average
358,0.0,0.0,good
359,0.0,0.0,good
360,1.0,0.0,average
361,0.0,0.0,average
362,0.0,0.0,good
363,0.0,0.0,good
364,1.0,0.0,average
365,0.0,0.0,average
366,0.0,0.0,negative
367,0.0,0.0,negative
368,1.0,0.0,worse
369,0.0,0.0,good
370,0.0,0.0,worse
371,0.0,0.0,worse
372,0.0,0.0,worse
373,0.0,0.0,average
374,0.0,1.0,good
375,1.0,0.0,good
376,0.0,0.0,worse
377,0.0,0.0,average
378,1.0,0.0,good
379,0.0,1.0,good
380,0.0,0.0,average
381,1.0,0.0,good
382,1.0,0.0,average
383,0.0,0.0,worse
384,1.0,0.0,good
385,0.0,0.0,good
386,0.0,0.0,average
387,0.0,0.0,average
388,0.0,0.0,average
389,0.0,0.0,average
390,0.0,0.0,average
391,0.0,0.0,good
392,0.0,0.0,good
393,0.0,0.0,average
394,1.0,0.0,negative
395,0.0,1.0,good
396,0.0,1.0,negative
397,0.0,0.0,good
398,0.0,0.0,worse
399,0.0,0.0,worse
400,1.0,0.0,average
401,0.0,1.0,good
402,0.0,0.0,average
403,0.0,0.0,average
404,0.0,0.0,good
405,0.0,0.0,average
406,0.0,0.0,good
